ite,type,start,end
0,cmd,1647925215.362872,1647925428.6856277
0,idlw,1647925428.6862228,1647925528.7464597
1,cmd,1647925528.746756,1647925737.5133722
1,idlw,1647925737.5138,1647925837.6126294
2,cmd,1647925837.6129735,1647926044.174193
2,idlw,1647926044.1746712,1647926144.2613761
3,cmd,1647926144.2617278,1647926351.8088858
3,idlw,1647926351.8092523,1647926451.8224716
4,cmd,1647926451.8227673,1647926656.7363694
4,idlw,1647926656.7367334,1647926756.8367796
5,cmd,1647926756.8370755,1647926963.4830585
5,idlw,1647926963.4834204,1647927063.5064466
6,cmd,1647927063.5067458,1647927269.785235
6,idlw,1647927269.7855988,1647927369.8784425
7,cmd,1647927369.8787422,1647927574.7966027
7,idlw,1647927574.7969587,1647927674.890277
8,cmd,1647927674.8906317,1647927882.0981963
8,idlw,1647927882.0986,1647927982.1984377
9,cmd,1647927982.1987362,1647928193.8074207
9,idlw,1647928193.8077903,1647928293.906472
